	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1q	2q	3q	4q	5q	6q	7q	8q	9q	10q	11q	12q	16q	17q	18q	19q	20q	1p	2p	3p	4p	5p	6p	7p	8p	9p	10p	11p	12p	16p	17p	18p	19p	20p
1321N1_CENTRAL_NERVOUS_SYSTEM	1	1	1	0		0			1	0	0	0	-1		0								1	1	1	0		0	1		1	0	0	0	0					1	1	1		0	0		0		0	0	0	1	0	1		0
143B_BONE			0	-1							-1	-1	-1			0		-1	-1			-1	-1		0	-1		-1	-1			0	-1	-1	0		-1	-1	1			0	-1			0	0	0	-1		-1	0	1		-1	0
22RV1_PROSTATE			0	0	0	0	1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1		0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1		0	0	0	1	0	0	0	0	0
2313287_STOMACH	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0		0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	
42MGBA_CENTRAL_NERVOUS_SYSTEM			0	0	1	0	0	0	0	0	1	0	0	1	1	0		0	1	1	1	1	0	1	0	0		0	0	0	0	0	1	0	0		0	1	1	1	0	0	0	1	0		0		0		0	0	0	0	1	1
5637_URINARY_TRACT	0	0					1	0	1	-1		0		0	0	-1		0	0	1			0	0			0		1	0	1	-1		0	-1	1	0	0	1	0	0	-1	-1	1	-1	1		1	-1	1	0	-1	-1	0	0	1
59M_OVARY	0		-1	-1		0			-1						-1			-1			-1	-1	0	0	-1	-1	0	0	-1		-1		0				-1		0	0	-1	-1	-1	1	0	0	-1	-1	1		0	-1	-1	-1	-1	-1
639V_URINARY_TRACT	0			0		0	0		0	0			0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0		1	0	1	0	0	0	0	0	0	1	0	0	1	1	1
647V_URINARY_TRACT		-1		-1					-1	-1	0	0		-1			-1				-1	-1	0	-1	0	-1	-1	-1			-1	-1		0		-1	-1						-1	1	1			-1	-1	0	0	-1	-1	0	-1	1
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
769P_KIDNEY		0		0		0	0		0	0		0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0		0	0	1	0	0		0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0
786O_KIDNEY	0	0				-1				0	-1	0	-1	-1	-1	0		-1			0	0	0	0	0	-1		-1	1	1	1	0	-1	0	0		-1	-1	1	0	0	-1	0	1	-1	0	-1	-1	0	-1	0	0	-1	-1		-1
8305C_THYROID	0		0		0				1		0	-1	-1	1	1	0	0	1		1	0		0		0	0	0			1	1	-1	0	-1	0	0	1	1	1	0	0	0	1	0	1	-1	-1	1	0	0	-1	0		1		1
