Compound,MZ,RT,HMDB,Assignment_certainty,Metabolite,639V_DMSO_4Hours_R1,639V_DMSO_4Hours_R2,639V_DMSO_4Hours_R3,639V_BRD-1748_4Hours_R1,639V_BRD-1748_4Hours_R2,639V_BRD-1748_4Hours_R3,639V_BRD-1748-P059_4Hours_R1,639V_BRD-1748-P059_4Hours_R2,639V_BRD-1748-P059_4Hours_R3,639V_P059_4Hours_R1,639V_P059_4Hours_R2,639V_P059_4Hours_R3,639V_DMSO_8Hours_R1,639V_DMSO_8Hours_R2,639V_DMSO_8Hours_R3,639V_BRD-1748_8Hours_R1,639V_BRD-1748_8Hours_R2,639V_BRD-1748_8Hours_R3,639V_BRD-1748-P059_8Hours_R1,639V_BRD-1748-P059_8Hours_R2,639V_BRD-1748-P059_8Hours_R3,639V_P059_8Hours_R1,639V_P059_8Hours_R2,639V_P059_8Hours_R3,CJM_DMSO_4Hours_R1,CJM_DMSO_4Hours_R2,CJM_DMSO_4Hours_R3,CJM_BRD-1748_4Hours_R1,CJM_BRD-1748_4Hours_R2,CJM_BRD-1748_4Hours_R3,CJM_BRD-1748-P059_4Hours_R1,CJM_BRD-1748-P059_4Hours_R2,CJM_BRD-1748-P059_4Hours_R3,CJM_DMSO_8Hours_R1,CJM_DMSO_8Hours_R2,CJM_DMSO_8Hours_R3,CJM_BRD-1748_8Hours_R1,CJM_BRD-1748_8Hours_R2,CJM_BRD-1748_8Hours_R3,CJM_BRD-1748-P059_8Hours_R1,CJM_BRD-1748-P059_8Hours_R2,CJM_BRD-1748-P059_8Hours_R3,CJM_CERS1_DMSO_4Hours_R1,CJM_CERS1_DMSO_4Hours_R2,CJM_CERS1_DMSO_4Hours_R3,CJM_CERS1_BRD-1748_4Hours_R1,CJM_CERS1_BRD-1748_4Hours_R2,CJM_CERS1_BRD-1748_4Hours_R3,CJM_CERS1_BRD-1748-P059_4Hours_R1,CJM_CERS1_BRD-1748-P059_4Hours_R2,CJM_CERS1_BRD-1748-P059_4Hours_R3,CJM_CERS1_DMSO_8Hours_R1,CJM_CERS1_DMSO_8Hours_R2,CJM_CERS1_DMSO_8Hours_R3,CJM_CERS1_BRD-1748_8Hours_R1,CJM_CERS1_BRD-1748_8Hours_R2,CJM_CERS1_BRD-1748_8Hours_R3,CJM_CERS1_BRD-1748-P059_8Hours_R1,CJM_CERS1_BRD-1748-P059_8Hours_R2,CJM_CERS1_BRD-1748-P059_8Hours_R3,PREFA01,PREFB01,PREFA02,PREFB02,PREFA03,PREFB03
QI312,354.1013,3.69,Standard,1,P053,41901,43768,44186,45509,41584,40688,49850393,48260493,47342212,47207982,48375675,46182873,42069,40886,39859,45000,43383,43228,50540654,54094755,51664664,53419380,51397715,50703238,34879,31075,28639,30242,30692,30240,39883774,40931509,38474369,30915,30920,32876,29242,31836,32385,43738864,44958388,44093117,28095,29092,31092,29788,33849,27309,42251409,38792715,41297255,32556,31600,31339,26280,31020,29818,44660018,40948447,41173234,20783407,21457984,22068268,21537175,21270692,21498294
QI307,376.0831,3.68,Standard,1,P053_Na,472,,,724,,,20282308,19704370,19536412,19524691,19775663,19216788,854,672,,710,897,672,20231657,20739841,20471721,21078478,20227963,20108294,777,333,,101,,,17758377,18037029,17376067,,,,,370,361,18392667,18925422,19050653,,,529,,261,132,18458558,17878048,18635547,,,,,561,,19242808,18211643,18309480,10290379,10730082,11436667,11134870,11056418,11197880
QI6800,622.4428,6.65,Internal_standard,1,C24:0 PC,18251822,19123699,19421084,21586669,21323951,21847239,18516477,21358593,21525816,21529994,20849656,21546639,18626221,18581600,19170432,21137013,21754766,21230685,21985447,21338596,21380557,20276265,19603490,21294141,18924157,20468277,20442096,20161811,20760842,21443115,19871092,20649538,20940496,19561271,19857163,21622300,20497632,21273348,21594318,21222408,21429510,20702010,19385850,20150007,19524591,19918219,20476450,20090911,20549362,18217910,20281826,18242812,20360866,20279474,20712016,21036638,20018344,18536616,20391281,21217629,20752865,21102808,20777857,20646665,20346600,20450814
QI757,468.3074,4.42,HMDB0010379,1,C14:0 LPC,112367,107836,131562,294344,304560,301301,199810,225871,223715,186756,197574,197314,103903,102061,112711,399662,396790,414385,251914,278493,270402,214549,190576,207000,59529,68654,68077,80325,77358,89395,81853,91440,87945,68553,80208,84235,87517,90353,97183,87572,101260,95388,74989,83781,68479,130371,124128,129138,105741,104884,128169,75773,86076,93325,136597,144141,140560,120192,134877,133274,148155,148431,149250,148453,144326,144027
QI7206,494.3232,4.58,HMDB0010383,2,C16:1 LPC,321502,346363,366043,725168,730835,744442,503079,500398,497511,409396,427978,431477,296160,268204,290684,933566,932734,945718,512886,552124,547834,442008,392891,419168,215373,250160,225439,262560,264641,285333,245869,272595,252814,240332,256212,263651,264394,265616,289259,257682,286746,265580,253417,282148,235928,435545,417253,453432,307922,303276,368267,235733,260617,248045,403235,439229,409849,372959,356098,371200,380610,392357,395750,389250,374717,390353
QI7135,496.3387,4.94,HMDB0010382,1,C16:0 LPC,4959389,5437826,5995074,12330213,12006918,12236518,8853460,10648561,10109503,8319097,9196241,9154302,3825741,4387454,5107300,14871524,14675387,15538891,10428408,11691985,11256700,8103894,7675360,8524455,3042529,3695015,3241491,4163949,3932287,4620240,3792048,4394595,4184423,3244811,3804337,4172411,4292536,4343437,4663451,3796246,4521233,4378772,3746098,3956675,3261284,5689005,5379186,5524820,4903673,4921325,5452816,3139677,3873212,4155147,5406860,5429512,5427855,4526237,5310014,5525836,6198370,6114002,6492862,6355254,6279604,6356808
QI7168,520.3395,4.77,HMDB0010386,2,C18:2 LPC,79105,82198,84319,126938,128506,119642,113355,109904,102422,84305,92427,93694,53173,49205,51052,129355,127832,123009,83161,88768,84967,65680,61760,58239,65086,76050,68562,70049,78713,87513,74194,78269,73110,57855,62890,64090,64270,68832,71388,68440,73749,71621,76885,76180,70300,117843,100817,101642,82649,80329,95993,56293,61141,55949,83246,82242,81142,80662,80116,80574,78688,78539,84930,81276,80584,83007
QI907,522.3545,5.12,HMDB0002815,2,C18:1 LPC,2658252,2881214,3049234,6665835,6811425,6787221,4536014,4667659,4531198,3704461,3933445,4027419,2366811,2254965,2447195,8082132,8092228,8362543,4353268,4975428,4867018,3715559,3364187,3639043,1839669,2212937,1891651,2386400,2302548,2576066,2219110,2408864,2326158,1821898,2070671,2093997,2172060,2194377,2447129,2152051,2456883,2413141,2273738,2386708,2037831,4138019,3857830,4027959,3048427,2972971,3421833,1872144,2062663,2002864,3534125,3731473,3632665,3069052,3097243,3283003,3243518,3354687,3486303,3443072,3394337,3352729
QI7016,524.3701,5.53,HMDB0010384,1,C18:0 LPC,5195515,5750313,6231407,9800077,10009699,9862935,8208163,9961141,9915237,7905430,8412838,8874832,3512145,4301446,5059646,10999404,10630532,11179264,9721602,10795603,10509797,7625658,7667405,8443778,3967582,4468658,3962705,5139027,4960619,5706653,4750846,5401612,5231516,3859803,4353755,4978009,5098613,5153857,5264031,4695898,5608737,5361958,4469737,4770144,3962111,6033154,5810514,6021341,5363901,5524064,6259893,3496409,4336156,4773971,5068277,5427548,5343613,4886584,5828739,6306161,6223498,6503061,6512748,6360756,6237584,6360467
QI7188,542.3205,4.66,HMDB0010397,1,C20:5 LPC,16025,19068,19776,56085,54367,57416,26337,24252,24876,21728,21599,19665,17040,14420,14009,79087,73338,79887,22957,22784,24212,22222,18596,21317,12194,15594,12084,15573,15805,15620,12087,14517,13925,11351,13770,13909,11493,13262,13016,12636,14811,13580,14898,15579,12772,43260,41301,44478,19445,15549,21216,11288,12030,11963,41633,51613,45017,22607,21177,20137,22557,26198,25787,27783,24441,24288
QI835,544.3386,4.79,HMDB0010395,1,C20:4 LPC,277112,255226,272932,426067,398172,420566,378279,352487,346635,290274,309379,292850,150332,144831,141091,402391,383050,385523,214374,218106,214614,178688,163260,164852,246405,294181,243512,282410,307678,318789,275291,280536,270032,182393,193487,194219,189836,193401,219871,206837,222720,222553,283235,295576,258848,398869,372859,417720,273828,240389,300945,176918,193922,155184,288615,310542,278350,231490,203053,214158,262704,268078,275836,270203,254193,271312
QI7170,568.3387,4.77,HMDB0010404,1,C22:6 LPC,296993,281135,290432,490466,481598,475873,422965,390169,392525,331717,336494,338670,160718,145661,151663,471766,450351,471029,218146,237627,228850,189922,179173,172017,247979,286193,232812,280418,307383,322559,292499,290643,282965,159559,166402,177039,170730,173241,195593,197889,207315,216219,298869,309334,287008,441749,422106,441735,294605,270855,331393,172467,198761,145488,271883,291179,258307,238541,218111,224019,272123,280632,292746,280605,282392,281653
QI872,454.2916,4.96,HMDB0011503,1,C16:0 LPE,56135,56398,66319,168630,164854,167320,104358,126921,123450,115280,117376,116195,39678,47339,50380,239227,233125,256394,126559,154344,148353,108622,99649,112556,10770,10424,10848,9712,9497,71131,15688,17685,13824,12753,7867,8920,10060,8810,15892,16108,16095,15701,12430,13888,11151,49366,50795,47272,38452,34095,35125,9033,11921,11105,36187,45299,44128,42321,41430,39298,64261,64138,67235,65021,64733,65179
QI909,480.3078,5.13,HMDB0011506,2,C18:1 LPE,132570,125312,145630,523099,520488,540351,235362,241315,252943,225932,198409,219495,131440,115067,124594,721269,735423,773009,244519,294720,299991,234723,201631,215498,40182,46079,36877,44925,34357,33385,59757,47070,47527,44060,49694,33979,38676,37869,34952,51671,52230,46505,66076,75871,53050,173731,173754,177105,112264,109489,112092,48537,43473,44331,119393,148828,143072,113914,117761,122787,154109,161554,162821,166717,163167,162222
QI7013,482.3232,5.54,HMDB0011130,1,C18:0 LPE,212276,218725,247265,681632,646451,680769,388372,465616,491432,400602,399261,409407,178579,196882,214210,1046399,1045218,1119138,481052,559128,584895,419276,405822,439390,67300,61453,62935,73569,67986,76912,93613,97610,91698,55183,56395,66048,61819,68167,68192,94356,104135,97934,74512,85160,74001,187622,196976,200556,183529,165170,187339,66822,72434,77111,143043,166458,160535,204740,224349,221640,255897,266175,264530,263805,258768,263656
QI7177,502.2919,4.71,HMDB0011517,1,C20:4 LPE,7515,8098,8281,20593,21191,21822,8694,10735,11198,10129,10281,10299,9920,9064,11130,30457,30107,30757,10834,13799,14015,12245,12209,13920,2041,1193,2264,1724,2489,2309,2480,2301,2251,2605,2822,2994,3186,3163,2892,2915,3900,2529,2330,3464,2755,9809,10800,11838,3670,1786,2939,2838,2941,4106,10303,11537,11098,4235,4185,5519,8523,9267,8973,8701,8854,8466
QI924,510.3546,5.22,HMDB0011481,1,C20:0 LPE,9295140,9745185,10003552,11511955,11648978,11507120,9519109,11618629,11698459,11064332,11159569,11463829,8501079,10017384,9822380,11412953,11554341,11597542,11235060,11822624,11563336,10379654,10447859,11556404,9843098,10507540,10742193,10894284,10873381,11243030,10693936,10840378,10652260,9955943,10127248,11310929,10815286,11034722,11572089,10811703,11173090,11105568,10256034,10567777,10046440,10863081,10312253,10753677,10442469,9580937,10934475,9700208,10575640,10972599,10810329,10841740,10507835,9458504,10533181,10803174,10364641,10739799,10903521,11013647,10498359,10597525
QI822,526.2918,4.70,HMDB0011526,1,C22:6 LPE,5723,5230,6115,14269,14704,15031,5813,6992,6948,7297,7861,6772,6751,6054,7065,21385,19857,22074,6646,7366,9099,8919,8375,9829,3414,2538,2726,2663,2697,3194,2503,2682,2775,3343,3416,3719,3160,3586,3876,3404,3636,3507,3113,3505,3333,6719,7705,8010,4139,1140,2429,3504,3468,3518,5149,8385,6800,4302,4150,3701,6553,7893,7176,7208,6206,7214
QI1047,538.3858,5.84,HMDB0011520,1,C22:0 LPE,98700,110972,121060,169876,176715,172176,145613,181375,174925,147796,164948,165423,74401,92949,105279,172128,165599,175592,180911,199482,189158,140497,145394,176034,86801,91826,83022,102401,96476,114283,107041,115590,106520,81309,92227,101972,102503,103956,107173,112447,128468,122493,88630,91905,84499,115917,113993,110282,111598,117643,127601,75585,95015,97258,102223,103858,103979,103420,122292,130903,119335,124637,130958,130078,127310,123283
QI1471,704.5209,7.95,HMDB0007870,2,C30:1 PC,19772767,19685904,21362515,23669927,23921511,24664154,20606182,24817450,25161606,24661396,24056228,24972219,20522805,20623779,22522196,25935627,25760639,27724391,25700241,28616843,28225070,27062628,23696513,28554095,8922092,8583496,8095563,8142137,8302774,9052310,8724175,8722910,8159741,7907562,8031868,9000899,8206674,9392915,9435209,8984695,9675506,9383010,10005533,11409745,9914510,11108561,11462467,11813692,10924672,10629527,11280950,9912913,10745316,10889673,8676619,10556151,10243698,9745940,10549897,10436664,15606846,15684872,15994743,15911522,15805290,15304986
QI1619,706.5364,8.30,HMDB0007869,2,C30:0 PC,97932246,100910701,109292071,105711794,105472080,107346423,112913608,131019323,135167152,132031795,131977385,132438476,103531970,105349701,108949055,98654113,97883500,102430204,115360456,131400972,133196059,118536436,118960034,135244434,59099931,53985024,52576656,55330826,53832949,56588739,56159947,56395698,54468238,57097918,56930352,63297102,58505597,64436983,63310412,61838748,66698587,66430728,68382789,75435463,68602523,68997461,71347846,74793983,77249242,67676098,74239229,72777766,78788822,79398620,56466182,69383399,67505140,67942301,72794411,69863609,84274122,90167516,89495582,84068416,83495986,85119249
QI6465,730.5363,8.12,HMDB0007874,2,C32:2 PC,21560124,21795237,23495835,25792586,25631040,26602284,22931001,25467346,26445259,25677982,24995248,25065454,25526550,23262525,24540977,26165565,26015321,27519962,25563121,28799257,29414518,29294888,25664545,28951897,15988495,14719375,13968762,14674539,14437234,15285268,14286130,14066367,13931473,13959508,13958639,15441048,13979910,15323413,15410314,13974854,14881792,14392105,16691895,18575716,16417806,16628572,16882977,18005396,17560253,15513792,17013756,17166106,17570378,18125119,13008466,15390224,14733986,15220278,15041621,14999510,19372391,19506477,20524725,20148003,19617391,19271804
QI6270,732.5520,8.45,HMDB0007873,2,C32:1 PC,395709367,409595633,442771012,470101592,455954539,486234094,399116612,510647443,497650856,464217756,494034109,477845329,386023589,417738460,447759753,481639662,467611557,497158986,506250760,543703552,556915294,519168537,481964036,550207074,201915400,189413267,187236102,192382402,187471015,209769242,188021701,189905594,194234283,183021585,181663396,208854578,191505982,212356748,214307035,202153499,211338018,201020828,225210797,256211736,225125026,226417399,234583831,238188293,240710157,209993043,238473598,220141190,239488814,255138482,179450016,215313809,204965291,198252200,221386378,213728428,332190012,329396320,338612282,322164390,321633419,323452020
QI6084,734.5677,8.77,HMDB0007871,2,C32:0 PC,141837100,140820455,157335627,152741244,150130176,155346508,165195138,193167359,188587948,193480388,185546944,190356007,139153962,142210216,147182663,144917782,139359739,146561397,147050079,178696377,177161372,161044834,166530242,175905970,145461232,135129160,135189492,140641231,138763777,156115465,140892738,147929871,144355562,148868057,152006165,165735055,147475477,161672717,165980485,163904871,175770772,172373945,163132728,181805899,176536455,174891249,178704118,186568943,184403843,167934837,188687721,188414187,197385816,196422326,152372557,186064551,183047194,175683282,170979221,184570586,166796571,168638882,169888817,162960301,169167534,165093937
TF01,756.5538,8.30,HMDB0008006,2,C34:3 PC,276786123,273198575,297857572,288354441,287094109,289107419,312296813,351784792,343157459,351969682,335055052,344325368,263863507,267565150,269735698,278564669,274178458,284565393,277799998,311755743,307334943,287310911,307086498,305299819,284522515,271962986,272163451,285482929,280634518,305016246,289005945,300222299,299086801,293958051,292833953,313770505,294483948,308822715,317844138,319157387,337744893,335020642,325243921,346601805,341122923,350516553,353376129,370556475,365761559,346838000,375254521,353929571,362275605,357412360,322823382,370836775,369859558,358510991,345579184,366525974,315471872,318625052,315077101,306927917,317863086,310602140
TF02,758.5694,8.60,HMDB0007973,2,C34:2 PC,2387555552,2405957436,2574710434,2670915913,2574897164,2707208189,2403960094,2679880504,2705852395,2634348705,2637655583,2724463700,2569985950,2513433233,2665243911,2503605378,2495247660,2635092045,2657865325,3004448888,2989200758,2923809551,2632955846,3020670388,1835481827,1638491504,1598411927,1629944434,1535631053,1783511276,1578692219,1609865035,1549196751,1675154731,1663940914,1766161489,1588585929,1824646860,1760699078,1652365467,1732831587,1656691094,1716446094,1999465515,1836184461,1664279354,1763251105,1699484482,1792723736,1571679305,1785049746,1826300226,1921783363,1875616119,1392184220,1584716078,1549764214,1495554026,1603920757,1626507376,2089559372,2174105536,2171186917,2161120418,2034239564,2116675234
QI1334,774.5625,7.52,NA,0,C34:2 hydroxy-PC,139469,143476,167283,173519,155898,187353,163185,186632,190460,155652,144460,169281,159254,146220,171359,162215,165589,176791,178594,204789,215623,170919,158347,179900,81742,70181,64998,66658,67996,81977,70764,74648,72246,68827,70977,89873,70548,89510,89409,82183,89071,84921,72366,91530,75362,90152,98378,93569,85785,73228,92464,82808,90956,89520,55435,84105,78209,74684,86579,88481,111638,114751,121740,121065,113893,114055
