compound,cjm_dmso_4hr_01,cjm_dmso_4hr_02,cjm_dmso_4hr_03,cjm_dmso_8hr_01,cjm_dmso_8hr_02,cjm_dmso_8hr_03,cjm_dmso_24hr_01,cjm_dmso_24hr_02,cjm_dmso_24hr_03,cjm_brd_4hr_01,cjm_brd_4hr_02,cjm_brd_4hr_03,cjm_brd_8hr_01,cjm_brd_8hr_02,cjm_brd_8hr_03,cjm_brd_24hr_01,cjm_brd_24hr_02,cjm_brd_24hr_03,639_dmso_4hr_01,639_dmso_4hr_02,639_dmso_4hr_03,639_dmso_8hr_01,639_dmso_8hr_02,639_dmso_8hr_03,639_dmso_24hr_01,639_dmso_24hr_02,639_dmso_24hr_03,639_brd_4hr_01,639_brd_4hr_02,639_brd_4hr_03,639_brd_8hr_01,639_brd_8hr_02,639_brd_8hr_03,639_brd_24hr_01,639_brd_24hr_02,639_brd_24hr_03,blank_01,blank_02,blank_03
LPC(23:0)[M+H]+,192472.6,147181.7,66283.3,88216.6,35473.69,43424.44,40129.84,27964.99,33536.17,259614.6,171112.4,36318.3,87554.04,30599.68,39283.75,39332.36,31628.94,43791.99,191802.5,162535.4,152429.8,144488.9,95434.98,147892.5,105853.6,89766.01,151181.3,155947.3,108470.9,127915.8,140064.6,109445.6,162514.4,119513.2,106550.9,142685.2,16005.66,2190.215,0
LPC(17:0)[M+Na]+,51954.09,57906.89,67885.63,32238.09,35105.08,38352.77,20049.02,21991.29,22132.64,201835.5,54029.14,42675.91,41703.77,53393.97,42114.57,23346.13,26002.42,25710.02,37181.5,40377.29,40554.98,36793.68,43289.38,37801.04,17533.04,20964.81,25056.19,52277.83,84622.46,64058.56,69533.34,88971.73,102056.2,54252.45,84767.99,76492.61,1050.463,848.6635,0
LPC(20:5)[M+Na]+,60497.57,47004.88,50325.47,22351.78,44006,26353.4,15131.32,14416.49,7864.368,80387.21,48959.47,30214.3,27848.53,38549.71,56538.33,7412.145,12628.7,8891.05,44317.98,78622.41,81854.62,14326.35,51429.92,92017.84,26892.27,12009.4,57620.95,175419.4,203905.5,186638.7,216581.4,266986.8,273316,448949.9,595387.4,604278.6,0,0,0
LPC(21:0)[M+H]+,59146.64,39402.63,57095.58,37167.66,31114.7,40249.5,36225.89,21288.84,30506.01,49726.45,33917.14,49229.13,38776.71,34125.21,49335.28,37281.17,30081.56,41723.89,29594.39,26487.46,46954.14,27410.33,21637.26,32830.55,13031.31,15787.63,35050.78,32618.01,50321.45,38351.86,57710.56,45533.81,42297.3,58383.93,79207.84,62430.93,12728.38,4240.509,0
LPC(24:2)[M+H]+,36695.86,32080.87,31450.78,19252.78,33830.72,33513.35,31770.49,28125.01,28100.34,41224.5,22411.68,27445.67,40151.64,25320.71,55571.99,28552.75,37465.51,34372.8,45935,43260.52,83780.91,37788.22,40207.24,69293.05,70006.19,66773.07,192093.8,348050.3,431311.2,368284.1,650899.4,474458.6,863498.7,1011093,1503044,1195947,5732.871,1167.625,5080.589
LPC(22:0)[M+H]+,288200.6,258744.1,242727.4,221160.4,223775,250595,235525.9,176048.8,278214.6,301196.8,215112.1,262250,248684.2,220784.2,270948.6,297127.2,193138,316000.5,168258.9,130711.9,210502.5,158805.9,113397.2,146162.3,102436.1,96285.38,175072.6,261243.7,300054.2,272480.1,311879.8,273752.2,376118,460486.6,539369.1,528503.1,10500.17,0,0
LPC(m16:0)[M+H]+,30175.29,43000.13,50399.47,16210.61,38532.19,32709.09,17322.71,19197.29,15972.68,53674.92,57630.91,33817.04,21937.28,39750.64,39933.86,13631.18,26256.67,19823.35,22304.73,43789.45,33185.73,28248.04,35661.52,26722.12,20918.54,18085.36,24338.29,25726.11,66744.54,42661.41,24370.34,51603.81,60282.11,45756.59,49576.55,48711.41,0,0,0
LPC(16:1)[M+Na]+,234418.2,129480.6,181076.9,64401.88,168459.8,108855.2,100873.5,80424.72,73598.12,187481.4,158201.6,92707.12,120426.8,135057.8,230806.9,32545.44,105606.9,101545.4,55608.79,121600.6,139152.7,55232.89,102291.9,159180.9,112878,90164.16,233164.6,280100.3,355475,331333.1,267158,497587.2,503063.9,943989.4,1346384,1106546,0,0,0
LPC(22:5)[M+Na]+,110284.4,91486.9,107439,27011.34,80703.88,45724.82,26772.13,19670.8,16014.16,173861.7,95893.77,53436.17,66096.46,64040.56,85430.58,8101.902,24797.44,23722.38,56540.58,121190.4,94160.8,28238.3,63130.39,107690.4,48484.21,29041.82,94337.66,144821.1,233752.8,223028.3,146734.1,301325.2,253520.7,328818.2,555640.7,614645.9,0,0,0
LPC(18:2)[M+Na]+,108307.8,74136.12,105612.7,38370.89,94860.6,66411.1,37518.2,39117.12,28757.7,321318.8,71641.62,52946.09,69377.45,63272.84,117275.5,15371.5,37873.96,30056.48,47609.66,102522.2,91020.07,41968.61,58955.44,122342.7,64825.09,32348.06,118416.3,198658.2,303100.2,270736.1,200650.3,403328.4,391038.6,417330.8,715781.9,717632.7,0,0,0
LPC(16:0)[2M+H]+,5984.189,7759.051,3919.044,3025.53,2377.561,2006.117,1174.755,0,5122.815,30487.1,10222.65,0,12205.88,8485.837,12188.68,1380.464,1793.225,11394.09,5062.772,4336.827,40366.77,1487.841,0,26870.76,0,3000.487,5738.032,57454.57,106127.3,94882.52,158544.9,172669.6,286715.4,273946.9,388474.3,401231.2,0,0,0
LPC(17:2)[M+H]+,17360.32,17552.66,33764.26,10079.31,19417.92,15962.91,10101.05,10399.64,8715.753,9440.512,22062.74,14603.84,10895.15,22234.73,17817.96,3853.039,14270.55,10778.23,14577.38,31842.77,24828.88,9474.895,19412.02,28573.82,18687.99,13583.15,35108.3,39673.14,62044.12,48487.64,51263.17,88236.46,85936.54,96700.18,130195.9,122521.8,1361.046,0,0
LPC(24:6)[M+H]+,14505.35,19310.74,33069.86,6316.711,21355.08,14496.33,14341.68,8546.777,8310.059,18101.25,15213.84,11381.71,12270.91,17498.47,21870.29,2914.123,12766.97,4527.854,11371.9,32445.05,16038.77,10949.53,18328.42,25711.25,12839.01,11691.69,27567.4,24217.7,42172.89,39156.63,28720.91,99951.44,67328.57,129045.8,280095.8,294976,1213.879,1105.041,765.0977
LPC(20:4)[M+Na]+,127510.5,108331.4,131676.5,37041.01,82555.72,62781.57,26196.12,25721.58,17145.02,338053.6,112622.9,56181.44,60800.59,71065.12,103195.4,10083.77,22521.47,14278.03,69217.59,155513.6,138196.7,65666.26,92982.48,172134.4,55607,35265.21,102958.7,238897.1,358848.8,296058.9,232862.5,401487.2,373696.1,449636.3,717889.3,721333.2,0,0,0
LPC(19:0)[M+Na]+,31473.92,27578.8,33487.02,18973.16,16111.28,18386.48,15361.74,19380.15,7664.176,89466.77,31989.04,32734.78,29107.29,19091.45,24089.46,18029.06,16068.74,12820.28,24730.77,18897.28,27514.31,16822.9,13838.12,9356.161,3606.232,2844.113,9261.99,30633.29,43676.73,30796.01,39988.35,20848.32,41499.67,36225.38,34218.3,35010.7,0,0,0
LPC(24:1)[M+H]+,498549.6,467715.1,542938.8,323005.1,349468.3,418838.6,412994.4,282186.6,440402.4,598681.9,363814.9,415598.2,436717.7,369259.4,454428.2,438640.7,298318.1,526052.8,150020.7,114353.3,182762.6,153581.6,105358.7,124579.2,156928.2,177565.9,272002.5,527320,496543,616648.7,1178872,952028.6,1400862,2142897,1907620,2260135,0,1232.331,0
LPC(22:6)[M+Na]+,122919.1,84658.65,138983.5,32735.41,83152.85,50827.17,30746.38,24551.37,20822.38,151960.5,99984.1,64285.92,53730.44,64644.56,84319.23,11096.19,26858.91,23202.24,65851.68,132786.6,110632.9,41811.6,79561.09,116016.4,49874.07,32133.65,105322.3,158632.5,270911.8,222198.3,168502.5,290339.8,250051.8,413020.9,511318.3,472429.6,0,0,0
LPC(26:0)[M+H]+,1834574,1527474,1362124,1460537,1791057,1818968,1971413,1007726,2146758,1810021,1297999,1733529,1957641,1457684,1896301,2241390,1443489,2508499,1189824,913351.7,1259275,1154221,721916.2,1164560,784355.2,808705.8,1411485,1270474,740437.2,1181770,1497244,1008256,1511961,1213904,1077537,1237249,60168.27,12466.88,11153.98
LPC(24:0)[M+H]+,910316,866827.7,899648.9,645374.4,657887.9,788800,1019385,652833.9,1089260,1020379,705229,945208,840981.7,684941.4,878710.6,1202783,653149.7,1219266,190782.3,173314,252922.7,200533.1,139938.1,178712.4,160948.5,140167.9,248516,304590.8,203177,298015.5,485101.9,364780.5,520388.8,950249,919319.6,975928.2,39708.43,1673.974,1252.281
LPC(22:1)[M+H]+,366500,259062,378469.6,210036.9,217368.5,282191.8,270262.5,249442.9,262255.2,411281,224190.8,275337.2,292668,223666.3,363676.1,270792,288110.8,362515,169828.2,146860.2,265420.3,152111.7,171399.8,177250,145427.3,158763.6,281487,751970.6,726071.2,926589.9,1451744,1258747,1873465,2198948,1620816,1731132,4590.124,0,0
LPC(22:0)[M+Na]+,14067.83,14745.97,5035.496,7586.816,7161.566,5110.473,11845.5,5598.729,9990.161,16548.16,11501.94,8847.36,6156.749,6455.9,12713.95,12856.86,9777.382,12084.52,3534.713,1886.554,4597.181,3538.587,0,4914.58,1219.43,0,2970.874,7467.363,12338.04,5761.331,17851.35,5807.451,15869.77,26440.07,21808.24,21661.13,4941.36,0,0
LPC(20:5)[M+H]+,1576098,2057590,2962522,915987.4,2061614,1468867,626184.5,613803.9,407288.1,4440324,2483965,1481204,1048570,1846394,2215079,309746.7,660315,424748,1816041,4180372,3007288,1161619,2219182,3318492,1455017,859389.2,2560630,7452804,9149355,7422242,9249063,1.21E+07,1.18E+07,1.96E+07,2.10E+07,2.40E+07,0,0,0
