compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI7812,11.306992630429141,16.551250824367877,234.65616692601134,4.480533886861886e-66,3.593836230651919e-62,117.2352690053077
QI188,11.856974007583247,16.671631382743694,212.8854889998714,2.473577513891806e-64,9.920282619463088e-61,116.01286270937712
QI6756,7.944711555509958,13.647969727090464,169.3658753158058,3.04494212647294e-60,8.141160265479817e-57,112.44251180812824
QI7801,8.578916944104982,12.372049882302422,137.14381659044827,1.8013885209241955e-56,3.612234331583243e-53,108.20466964158764
QI7800,6.367151148347231,11.696952290277139,80.25434928735783,6.504846469964585e-47,1.0435074707117188e-43,93.47256770283428
QI1151,4.704842452539793,13.757831641824927,76.93641461176385,3.6672170153091565e-46,4.902457946632457e-43,92.10355920331432
QI1316,4.793719592004246,13.189783850640632,69.00524513165449,3.145600141751404e-44,3.156226838928325e-41,88.46547780798932
QI7799,6.296571948124754,11.713600393284029,69.00397752530009,3.147963434911682e-44,3.156226838928325e-41,88.46485097786615
QI6759,8.19783610794624,18.487228771823066,61.20770301206324,4.211323719531319e-42,3.7532252838178564e-39,84.29307588297657
QI203,5.545228620649638,11.481187851238149,60.941437763672255,5.030917530655839e-42,4.0352989513390483e-39,84.13852441398573
QI7795,5.684666920272358,11.46607540051787,59.32405879536699,1.5065069748128144e-41,1.0985174949975985e-38,83.18090591529133
QI1239,12.299096766173546,17.277670685121212,52.58935487809144,2.032589249744382e-39,1.3586165310166405e-36,78.81246532702546
QI193,8.556006455737625,12.47480666165245,50.65043576639491,9.346898473780651e-39,5.767036358322662e-36,77.42734564752973
QI1131,4.337342980584966,13.439173765094695,49.837417410282846,1.8024423436330604e-38,1.0326707170200555e-35,76.82768314046379
QI7810,3.9798014463457907,12.06875814548397,47.237089556561564,1.5820383673681716e-37,8.45968649644007e-35,74.82994211627616
QI1234,3.882340016712263,11.930344449289612,38.89030922789888,4.032418103352199e-34,2.0215016004367493e-31,67.45828676553688
QI206,3.963618197002262,12.010000495912633,36.94108076727198,3.170875593774214e-33,1.4960937139801748e-30,65.4852722269713
QI1133,2.8621635666100236,13.04353305925253,34.19058964152627,6.97868482100255e-32,3.109779497181192e-29,62.50506982096735
QI6761,4.89470357881315,14.060502491018278,23.69749514241301,1.2333879809707514e-25,5.2068447344033667e-23,48.36994984368667
