compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
P053_Na,14.321929615579176,15.656986357237976,668.1572448439535,8.331481152980114e-85,6.682681032805349e-81,136.1439590612807
QI7701,13.898698464819894,15.487542725536793,629.6547564659788,9.623764251789244e-84,3.859610653180076e-80,135.91820445625243
QI7688,15.2550538017585,15.99143192563089,548.1726931933778,2.913537873488293e-81,7.789829094416531e-78,135.28702085037133
QI301,11.885476694339935,14.631807528334594,345.71118297132307,5.2095114059316286e-73,1.0446372746744399e-69,131.71752253479448
QI7036,-6.614400558475076,10.556883925491949,-226.498333796665,1.924921802826341e-65,3.0879595560940164e-62,125.48813037911069
QI7666,7.770631467784,12.883044715183257,196.03774463666593,7.381730563538878e-63,9.868143475024223e-60,122.54068778466174
QI287,7.316659684309872,12.913443977244999,188.1449105181206,4.010301648200174e-62,4.595232788601943e-59,121.62201580263388
QI7393,7.956347356904178,13.018568884179277,187.26480579666273,4.864475819187457e-62,4.8772450682128235e-59,121.51495342592608
QI7693,12.928650712319985,15.060072109563576,183.2888864107534,1.1771735504037198e-61,1.0491232275320262e-58,121.01909108460248
QI923,-6.804558039829349,10.597085820491172,-179.5065587502839,2.7780834899170173e-61,2.2283007672624396e-58,120.5281250989905
P053,10.213480960214318,19.213477099100093,173.22208806729287,1.205096437983151e-60,8.787344117329867e-58,119.66826186346687
QI314,6.773274165662098,12.583771371556875,164.7990029875649,9.382441625218692e-60,6.27138035632326e-57,118.42205403554473
QI1146,7.274148798972142,12.589619934844865,158.02495121846667,5.2809674526593735e-59,3.146850929481704e-56,117.33404116834983
QI6884,7.256119072534279,12.480154647485834,157.87419761558505,5.4925711273835995e-59,3.146850929481704e-56,117.30889546810441
QI918,-4.87291049650948,10.419363004578491,-157.5330353946508,6.004104679652624e-59,3.210594909032913e-56,117.2518346246441
QI315,5.900320405211405,12.230818829058842,155.91858104599024,9.174763970139826e-59,4.599423862780721e-56,116.97886562101931
QI1148,7.093362061485649,12.526819714043912,152.7810795689557,2.118174590512592e-58,9.994046112059706e-56,116.43414056731251
QI7386,7.29627674605711,12.760851131537331,152.41334115703373,2.3390368313312274e-58,1.0423008013393207e-55,116.36903343036789
QI7801,8.862518264858487,12.372049882302422,141.6775086370828,4.7257079732325514e-57,1.9949949291209627e-54,114.34333833328638
QI7761,7.438250545987106,12.829972672815176,139.89900873645308,7.946965658652929e-57,3.187130577402757e-54,113.98292417080535
QI1147,6.386887281030486,12.212411101539738,134.89660636734965,3.5546005186977633e-56,1.357688131451179e-53,112.92792622687288
QI238,7.907505317368081,12.95528701113792,133.55577017706466,5.3611513299687465e-56,1.9546270371672414e-53,112.63436810784077
QI1116,6.934429044245906,12.342386158632236,119.94566867212072,4.4556366219922344e-54,1.5538548410869442e-51,109.36827882836401
QI609,6.535410074327846,12.43683827697399,118.7543565183822,6.716360591584794e-54,2.2446636793792346e-51,109.05534924482252
QI1117,6.615031164872274,12.175642052160816,112.26038215285047,6.7769616707276875e-53,2.174320382436271e-50,107.26355819811532
QI7766,5.350437570570966,12.0388761608973,106.42541068270762,6.07516070669574e-52,1.8741870780156356e-49,105.51958932590362
QI7653,5.789875774703685,12.209745985851255,104.78494458126669,1.1500204764624923e-51,3.416412682113204e-49,105.00449386049168
QI239,5.910086233810485,12.14665658106953,93.2575919641777,1.3769264124846823e-49,3.9444024123355845e-47,101.03953814196342
QI7682,5.351684791933856,12.024137427747174,91.03853456786595,3.699010393781307e-49,1.023095254086892e-46,100.19959624320306
QI7800,6.857156831061097,11.696952290277139,86.43059456520339,3.114438652314367e-48,8.326970810071179e-46,98.3660639340773
QI1151,-5.227050002313984,13.757831641824927,-85.47586666953293,4.9112189181704836e-48,1.2707382884724339e-45,97.97023447956596
QI7685,4.536142839409422,11.676029083421966,84.78899414740117,6.836886035806087e-48,1.7137082154125195e-45,97.6819194000369
QI968,-5.293126030532822,10.503842963289728,-79.82037204065624,8.123022179922663e-47,1.974386694095748e-44,95.50369317385893
QI1115,6.058013849256902,11.931332009843603,75.92877747415876,6.291846618387752e-46,1.4843206390025929e-43,93.67528908781635
QI7652,5.112621982258386,11.920785930681854,72.75954499275439,3.603003647347035e-45,8.257054930105877e-43,92.09895221617832
QI7799,6.554421685872544,11.713600393284029,71.82974647625313,6.098089378556315e-45,1.3586881918166721e-42,91.62060205882864
QI454,4.995168272385378,11.89379267960365,71.74449275932018,6.401670451305015e-45,1.3877783429707438e-42,91.57636840892138
QI6776,6.104982438532829,11.940991283146985,70.60618627299148,1.231411466331072e-44,2.5992503609056653e-42,90.97963787110838
QI6850,-6.405162813222226,11.276180863235659,-66.96537585332008,1.0723783355680332e-43,2.2055247768182548e-41,88.99116400204461
QI289,6.611083337453504,12.66315492400249,66.53783164646637,1.3931760436766255e-43,2.793666261582553e-41,88.74929179033062
QI7795,6.060141871119075,11.46607540051787,63.24244106342621,1.1089002749236621e-42,2.169387586625047e-40,86.82187799192235
QI203,5.700371369520106,11.481187851238149,62.64643909392703,1.6320357670128316e-42,3.1167997350499816e-40,86.46085362683512
QI214,4.363682733934562,11.555183078118812,62.204108428088546,2.1792481301159537e-42,4.06505796550234e-40,86.19034794092674
QI6906,4.477371361718998,11.58669149404858,57.568331741346164,5.124182228997594e-41,9.341151286088568e-39,83.21603781208424
QI6985,4.152934047424051,11.195002135642772,57.297245065862036,6.210415286939183e-41,1.1069720225897596e-38,83.03379379761881
QI6785,-6.168789070288362,11.247255646659314,-56.45971393804451,1.1312040500071952e-40,1.9483845949194083e-38,82.46458378717568
QI1133,-4.725287217108251,13.04353305925253,-56.44693338398251,1.141679042029824e-40,1.9483845949194083e-38,82.45582477274357
