compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI7812,11.059260284766667,16.551250824367877,229.51493047554231,1.1160867961977198e-65,7.719898890235918e-62,125.73629277499563
QI7036,6.61440055847506,10.556883925491949,226.49833379666444,1.92492180282656e-65,7.719898890235918e-62,125.48813037911063
QI6756,10.158809765695832,13.647969727090464,216.5661643109698,1.2208516316344205e-64,3.264150312446562e-61,124.61988670343416
QI188,11.007670711937156,16.671631382743694,197.63671243283278,5.282709860757236e-63,1.0593153948283449e-59,122.71809412499871
QI1151,11.920877917623587,13.757831641824927,194.9373683089871,9.307654193258774e-63,1.4931338856825725e-59,122.41694543287596
QI923,6.8045580398293435,10.597085820491172,179.50655875028377,2.7780834899170968e-61,3.713834612104172e-58,120.52812509899047
QI918,4.872910496509473,10.419363004578491,157.53303539465054,6.004104679652965e-59,6.879846233642348e-56,117.25183462464406
QI1316,10.330229889493944,13.189783850640632,148.70290848464842,6.449837571502411e-58,6.466768395127605e-55,115.69678764916108
QI1131,10.313133971725629,13.439173765094695,118.50111113134497,7.332455192841943e-54,6.534847011309469e-51,108.98821944329265
QI1133,9.563284550403795,13.04353305925253,114.24026966958981,3.303513440871006e-53,2.649748130922634e-50,107.82574100106984
QI6759,11.364595900186716,18.487228771823066,84.85175862890054,6.63258117783963e-48,4.8363576024956065e-45,97.70838916746736
QI968,5.44099491435802,10.503842963289728,82.05023568873109,2.626541054299427e-47,1.7556238163779754e-44,96.50191401699404
QI6850,6.4051628132222245,11.276180863235659,66.96537585332007,1.0723783355680332e-43,6.616574330454765e-41,88.99116400204461
QI6754,6.141492534004545,11.7169497105915,62.17201093181449,2.225630790497037e-42,1.2751274693269096e-39,86.17063283642442
QI1234,5.903006575654922,11.930344449289612,59.131799407912276,1.7196280412751195e-41,9.195424346045156e-39,84.24861263526276
QI6785,6.16878907028836,11.247255646659314,56.45971393804449,1.1312040500071952e-40,5.670867303192321e-38,82.46458378717567
QI1238,7.702701347963243,11.985253101538964,55.95625461737841,1.6289382080364113e-40,7.68571374509415e-38,82.11786006661526
QI7810,4.425780417729497,12.06875814548397,52.530506551255726,2.127205222619537e-39,9.479062828128504e-37,79.66279180711199
QI1241,8.847936665381662,12.493013693969855,51.96673993588054,3.297651281761584e-39,1.392129522684719e-36,79.2419261731326
QI6849,10.727804083960196,13.675780449367332,50.86986774383557,7.842496314744492e-39,3.145233147028279e-36,78.40862543861559
QI2430,2.075209277432613,20.454171067542067,49.54578063760573,2.2869776333116362e-38,8.735165522282206e-36,77.3763420179871
QI6758,7.765937363631963,11.63683032626458,47.73926642822368,1.030836577278417e-37,3.758336448340992e-35,75.91897354458953
QI6681,6.049907723942621,17.39974416425916,46.16395989837142,4.01074882471602e-37,1.3987050575237912e-34,74.59919496586691
QI965,3.8755516870172926,15.675536467142098,45.84845367425535,5.293319068000661e-37,1.769071343518054e-34,74.32912266733037
QI6764,5.7755613938474095,11.245628675319983,44.44719904182744,1.856683063228413e-36,5.95698194006204e-34,73.105468667242
