compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
P053_Na,14.251510044858252,15.656986357237976,664.8719789881012,1.0208712481327977e-84,8.18840828127317e-81,136.1261262348703
QI7701,13.83146131743206,15.487542725536793,626.608702206214,1.1753492962168805e-83,4.713738352477799e-80,135.89866138741155
QI7688,15.115686404318035,15.99143192563089,543.1646871521613,4.253354305189619e-81,1.1372051627308643e-77,135.23948751951534
QI301,11.720342221787458,14.631807528334594,340.90793987694656,9.273233024137316e-73,1.8595150521651352e-69,131.56338044378737
QI287,7.403879589474229,12.913443977244999,190.38773469753917,2.461676969904861e-62,3.949022195121378e-59,121.89055451916826
QI7666,7.392163709518705,12.883044715183257,186.4897476616941,5.770482993761682e-62,7.714174015493742e-59,121.41986996472593
QI7693,12.769446408340972,15.060072109563576,181.03185431688573,1.9607842325029316e-61,2.246778618415145e-58,120.72843566611084
QI7393,7.6334587785840124,13.018568884179277,179.6651291861869,2.6788897931662367e-61,2.685921878873298e-58,120.54909778001249
P053,10.092524304234795,19.213477099100093,171.1706459981269,1.9681129706329138e-60,1.7540260152718445e-57,119.37500554349216
QI314,6.602846880604755,12.583771371556875,160.65237523082743,2.678680112357475e-59,2.1485693181219307e-56,117.76565105293761
QI315,5.704644094430298,12.230818829058842,150.74774783253346,3.676574796869837e-58,2.6808914950629963e-55,116.0707483993498
QI7386,6.9653096894409146,12.760851131537331,145.49970607061206,1.580303345415635e-57,1.0563010944649006e-54,115.093214660531
QI1146,6.440742564538667,12.589619934844865,139.9198803461022,7.89833754447314e-57,4.8732742649399277e-54,113.98719731573672
QI6884,6.368529695351082,12.480154647485834,138.56257120287617,1.179549400088045e-56,6.757975527218721e-54,113.70712422681798
QI7761,7.213945147248559,12.829972672815176,135.68026096185886,2.800922897759819e-56,1.4977468375287673e-53,113.09734176835273
QI1148,6.270052440686776,12.526819714043912,135.04814396030665,3.3941583609638053e-56,1.7015340133306677e-53,112.96080965979985
QI238,7.813512309658336,12.95528701113792,131.96825198616807,8.767577506288266e-56,4.1367493634081283e-53,112.28066852250903
QI1147,5.479854906445128,12.212411101539738,115.73929486127562,1.9331375332607747e-53,8.614275641269263e-51,108.24194747449049
QI609,6.105125401745461,12.43683827697399,110.93569191568719,1.1038092888787908e-52,4.659818055840411e-50,106.87927207483467
QI1116,6.047866764799057,12.342386158632236,104.61069231729444,1.2313945731315782e-51,4.938507935544194e-49,104.94911061656627
QI7766,5.211865234015701,12.0388761608973,103.66907204074819,1.7852483658955733e-51,6.818798639451616e-49,104.64757047543118
QI7653,5.617394005739541,12.209745985851255,101.66337629457726,3.9827334963090125e-51,1.4520684260861177e-48,103.99230347836898
QI1117,5.579674701484359,12.175642052160816,94.68986595308361,7.366190369807224e-50,2.568878824183641e-47,101.5676426858995
QI239,5.768548862320362,12.14665658106953,91.02421770940009,3.722956817499623e-49,1.2442431930485198e-46,100.1940891828279
