compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
P053_Na,14.161224461127404,15.656986357237976,660.6599092116156,1.3266474057064974e-84,1.0641038841171816e-80,136.1028949117459
QI7701,13.737072276438067,15.487542725536793,622.3325817643922,1.5587062439463598e-83,6.251191391346876e-80,135.87077210397598
QI7688,14.900373679142366,15.99143192563089,535.4276737025758,7.683897320062579e-81,2.0544180134740647e-77,135.16363564967784
QI301,11.455857603056916,14.631807528334594,333.21491310397755,2.3756126469109884e-72,4.763697260218259e-69,131.305017890299
QI287,7.376573186247784,12.913443977244999,189.68556170968944,2.8662697341021404e-62,4.598069907446654e-59,121.80713822601209
QI7693,12.506037348991434,15.060072109563576,177.2975161997089,4.6257331537931194e-61,6.0162295459494535e-58,120.23231736970862
P053,10.398320994929257,19.213477099100093,176.35700131542814,5.7583045388224775e-61,6.0162295459494535e-58,120.1042850136877
QI7666,6.983526885564686,12.883044715183257,176.18064451151193,6.0004782904370564e-61,6.0162295459494535e-58,120.08013653242097
QI7393,7.408106097865309,13.018568884179277,174.36110912553357,9.200808727125151e-61,8.199965200030092e-58,119.8283543515752
QI314,6.362064990686278,12.583771371556875,154.79396548311743,1.2359372122083673e-58,9.913452379123313e-56,116.78580302059359
QI315,5.438761788504795,12.230818829058842,143.72169009022423,2.6210267629181684e-57,1.911205060487875e-54,114.7484999931913
QI7386,6.803020561902516,12.760851131537331,142.10961698511312,4.169155702181201e-57,2.7867331572662844e-54,114.42978495996405
QI7761,6.864951286101045,12.829972672815176,129.11636600728716,2.1534961796242753e-55,1.2346918377440063e-52,111.62805404360317
QI1146,5.943334529213043,12.589619934844865,129.11409637188487,2.1550537000892767e-55,1.2346918377440063e-52,111.62752565581917
QI1148,5.831821138959681,12.526819714043912,125.60925577182584,6.683532448751535e-55,3.5739075847624045e-52,110.7938869882951
QI6884,5.5111881787011825,12.480154647485834,119.90905922621025,4.5119096601401496e-54,2.2618767114990088e-51,109.35873212455871
QI238,7.088798939081794,12.95528701113792,119.72802596287627,4.801070068495165e-54,2.2652578246705717e-51,109.31145914673372
QI7801,7.443917790907905,12.372049882302422,118.99955470861072,6.170305785374953e-54,2.74955681691625e-51,109.12014164382313
QI609,5.952123368504607,12.43683827697399,108.15550554683246,3.1320317601904487e-52,1.3222119341309256e-49,106.05074985912502
