compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI7812,10.811067489145074,16.551250824367877,224.36413821956438,2.843114999124497e-65,2.2804625407977592e-61,124.66180554928866
QI6756,9.727066900094325,13.647969727090464,207.3622419491516,7.304347424192231e-64,2.929408534472294e-60,123.14006490452414
QI1151,11.81735562707097,13.757831641824927,193.24450952617792,1.3330483878117833e-62,3.286064404188893e-59,121.66807628063876
QI188,10.709221171992596,16.671631382743694,192.27821403246105,1.6387305344415373e-62,3.286064404188893e-59,121.55944760421232
QI1316,9.178080021027245,13.189783850640632,132.1177948633681,8.368503691534254e-56,1.2176353593413533e-52,111.97602940866484
QI1131,11.474535199416081,13.439173765094695,131.84597180395374,9.108355761187034e-56,1.2176353593413533e-52,111.9159547723575
QI1133,10.64222123061511,13.04353305925253,127.1289395250265,4.075849437059412e-55,4.6703411906647924e-52,110.840929883494
QI6759,10.235030784711935,18.487228771823066,76.41805914889372,4.836807528841382e-46,4.849504148604591e-43,93.78671448248551
QI6850,6.346019626856577,11.276180863235659,66.34703939261952,1.5665983292109924e-43,1.396187244289041e-40,88.55011916039524
QI6754,5.365366334321434,11.7169497105915,54.31507284974496,5.4695718924784855e-40,4.231972723487345e-37,80.90914222775717
QI1234,5.414263020425684,11.930344449289612,54.235940746850424,5.803727709557511e-40,4.231972723487345e-37,80.8527128505007
QI6849,10.898245570273891,13.675780449367332,51.67807935909092,4.134935744127974e-39,2.6498607271403393e-36,78.97794455666046
QI6785,5.641078308160216,11.247255646659314,51.62985213983752,4.294749962950307e-39,2.6498607271403393e-36,78.9416214378301
QI6681,6.03168760494767,17.39974416425916,46.024930861730454,4.531347678623029e-37,2.5961385521596658e-34,74.44869404477322
QI1241,7.78964881219553,12.493013693969855,45.75107952558388,5.7687245905248664e-37,3.0847293293733305e-34,74.21432298991309
QI1238,5.9925340232292115,11.985253101538964,43.53274837739651,4.299107668409206e-36,2.15519641301939e-33,72.25922827854014
QI7810,3.513059952991153,12.06875814548397,41.69723787838295,2.443331051128771e-35,1.1528210800649337e-32,70.56074036991089
QI6814,8.239025561677298,12.04714092909305,39.49356108881641,2.1726665222817277e-34,9.681643430678743e-32,68.41602548419266
