compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
P053_Na,14.113233388913518,15.656986357237976,658.4209942435755,1.5259242723375236e-84,1.2239438588419277e-80,136.0903751084986
QI7701,13.685332803589393,15.487542725536793,619.9886209065702,1.8210589345741437e-83,7.303356857109603e-80,135.855255105966
QI7688,14.865915453963229,15.99143192563089,534.1894572829829,8.453400651621872e-81,2.2601575542219677e-77,135.1512156011018
QI301,11.46431303564944,14.631807528334594,333.4608550783106,2.3044615141247235e-72,4.621021451198602e-69,131.31350482908746
QI287,7.42546536710039,12.913443977244999,190.94280413839982,2.1835432723599785e-62,3.5028401175198775e-59,121.9560767436233
QI7693,12.498931104454819,15.060072109563576,177.1967712978115,4.7352704423047716e-61,6.330267369621095e-58,120.21866326056221
P053,10.353129984473547,19.213477099100093,175.5905553580212,6.889378222367732e-61,7.894243245944511e-58,119.99900957947003
QI7393,7.256838802206762,13.018568884179277,170.8008019300083,2.151426637980317e-60,2.1570741329050154e-57,119.32145189790472
QI7666,6.71034878945612,12.883044715183257,169.2888985746101,3.1024694626863133e-60,2.7649897289118796e-57,119.10031604067585
QI314,6.279872840965886,12.583771371556875,152.79416686341975,2.110720211716046e-58,1.6930086818174404e-55,116.43645268979199
QI315,5.482779752654718,12.230818829058842,144.88488429654686,1.881123961186536e-57,1.371681390243382e-54,114.97481225769648
QI7386,6.628147127011999,12.760851131537331,138.45665186071955,1.2172503704595094e-56,8.136304351213104e-54,113.68508035547357
QI7761,6.853741652496375,12.829972672815176,128.90553462699194,2.303217051227471e-55,1.4210849206073495e-52,111.5789087816847
QI1146,5.650584456792853,12.589619934844865,122.75433976092029,1.7202657426634366e-54,9.855893944216733e-52,110.0878054380529
QI238,7.11229719365587,12.95528701113792,120.12490555530152,4.190325634569546e-54,2.2407067943254888e-51,109.41495538244368
QI7801,7.482757222161101,12.372049882302422,119.62044751722169,4.981827064891063e-54,2.497452180468201e-51,109.28331629612335
QI1148,5.48334209484057,12.526819714043912,118.10350545114862,8.418910450811313e-54,3.972240042703385e-51,108.88238820807068
QI6884,5.110515708913995,12.480154647485834,111.19147286330978,1.0041338979289396e-52,4.474532219604457e-50,106.95399063145226
QI609,5.771876781926803,12.43683827697399,104.8802608169318,1.1078601055855046e-51,4.676918898369122e-49,105.03473368330908
QI7766,4.9930976087748284,12.0388761608973,99.31757105540801,1.038765243749513e-50,4.165968010057422e-48,103.20276469718243
QI7653,5.42446246293129,12.209745985851255,98.17170880328713,1.672806479173654e-50,6.389324175929466e-48,102.80769824431545
QI1147,4.550067004730749,12.212411101539738,96.10136685913118,4.0130140686997266e-50,1.463108447501841e-47,102.0776812387022
QI7682,4.951663938826242,12.024137427747174,84.2337032522411,8.950536567991957e-48,3.1214023396462385e-45,97.44663621224244
QI1116,4.768774430312131,12.342386158632236,82.48607551402272,2.1139048317631387e-47,7.064846106488389e-45,96.69302391962916
QI239,5.108628893295977,12.14665658106953,80.61107909084393,5.423940829488343e-47,1.7402171757330397e-44,95.86163367528314
QI7685,3.973808597222492,11.676029083421966,74.27791536138162,1.5473467344470623e-45,4.7735646757691875e-43,92.86440124607368
QI1117,4.218179674455213,12.175642052160816,71.58461546762368,7.013392373828797e-45,2.0834970455733622e-42,91.49324567940974
QI289,6.729552286211952,12.66315492400249,67.73017283556712,6.742199828583009e-44,1.9313994580380114e-41,89.41932907145495
QI454,4.589104262805348,11.89379267960365,65.91228555297056,2.0492713771003074e-43,5.668001970938471e-41,88.39209987607501
QI7652,4.602384532407395,11.920785930681854,65.49817405270643,2.650986492740312e-43,7.087854219423348e-41,88.15344905577868
QI7800,5.090617021146382,11.696952290277139,64.16435655203496,6.141944541667617e-43,1.589178618345676e-40,87.3726496049992
QI7799,5.328592280491929,11.713600393284029,58.39591209214391,2.8647026587519944e-41,7.180556258078046e-39,83.76648691024265
QI214,3.5417856074169425,11.555183078118812,50.488000477101316,1.0648562966152451e-38,2.5882461682275397e-36,78.11392654626759
QI203,4.5060598210576455,11.481187851238149,49.521089738622486,2.3336900002442026e-38,5.505449262340809e-36,77.35681043941396
QI7281,-3.401163440801657,19.094880428113793,-48.40331182530902,5.889513796657814e-38,1.3497082903712095e-35,76.46145060141032
QI1573,-2.67253092275803,17.113037531542997,-46.3063580184484,3.5407743608004053e-37,7.889041985550014e-35,74.72044775262442
QI193,7.705689126269011,12.47480666165245,45.61666872798637,6.497769321552652e-37,1.4086110196803736e-34,74.12945996740599
QI464,3.3566140973756067,11.411155864100442,45.56362929946512,6.810824187019916e-37,1.437621600107546e-34,74.08362037376823
QI7795,4.2579484810851955,11.46607540051787,44.4351075590264,1.8772069751705006e-36,3.860789012267329e-34,73.09473389277602
QI1093,3.690169013606459,11.657632683054645,43.794314970209456,3.375461348528398e-36,6.768643869136571e-34,72.52141563735776
QI6906,3.4014251531803605,11.58669149404858,43.7342261322874,3.567890401242019e-36,6.980011928868838e-34,72.4672042464979
QI1115,3.4270059397056887,11.931332009843603,42.9527528119553,7.387179642798405e-36,1.410775426544905e-33,71.75500001249328
QI7278,-3.2331581674630634,14.858898473533086,-42.21070582362417,1.491891463779096e-35,2.7828980072028205e-33,71.06612851244937
QI7764,10.309586680799265,14.289505131657267,41.80935992194252,2.1927293714264936e-35,3.997245974593615e-33,70.68828895131634
QI7694,-2.6950888407246474,11.633449655879296,-40.581755747273874,7.281651138217495e-35,1.297913861769834e-32,69.50889584962277
QI6776,3.492427300632338,11.940991283146985,40.391102679828236,8.800899776287102e-35,1.5346090675130183e-32,69.32244151651864
QI7280,-4.653740915073437,16.69607714444513,-40.10760914634219,1.168384963047661e-34,1.9939608060862318e-32,69.04351527978515
QI276,-1.1727542057723,19.118922131746327,-39.9930126448648,1.310886270599154e-34,2.1905455784324613e-32,68.93019119844708
QI473,3.4346634871614175,11.389581345125904,39.31969118203472,2.5941777689318752e-34,4.2465101805311375e-32,68.2575651923305
QI6464,-2.035361530776896,19.733284639357123,-38.2808648208701,7.602149535308649e-34,1.2195368284542133e-31,67.1964406972751
QI1749,-1.2586783694741541,20.758207418912132,-36.301546396012355,6.379208084555434e-33,1.0032868244356693e-30,65.09151624699967
QI1575,-4.607870968290113,14.783171020640893,-32.73507352566846,3.9416641547561897e-31,6.080016958711423e-29,60.99242291806725
QI6460,-2.240900461295473,17.565033495183958,-32.70566564269956,4.084975579920456e-31,6.18218662764943e-29,60.95682707513663
QI651,-4.188212622450443,12.869800977731353,-31.523893612278172,1.7595395925731717e-30,2.6135679763017424e-28,59.499993630807865
QI7233,-2.0475242742294757,16.609769277677863,-30.93062157518434,3.7333988610671435e-30,5.444653139021738e-28,58.74857547289952
QI7392,6.37254473627738,12.868029231403714,29.190692136133535,3.668830594059204e-29,5.254944677669442e-27,56.46234976133458
QI6517,-1.4854729131848146,17.88217570931897,-29.100905480428384,4.141838180295839e-29,5.828365621781215e-27,56.34087945040639
QI1542,-3.3049054066211383,14.916957249015702,-28.585296038555324,8.366027974557397e-29,1.156963972136636e-26,55.63638520706212
QI648,1.865308113062662,10.766735395699742,28.391599345284625,1.0927272783005773e-28,1.4855534744489713e-26,55.36862966572298
