compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI6756,-9.727066900094325,13.647969727090464,-207.3622419491516,7.304347424192231e-64,5.858817068944588e-60,123.7388215203363
QI1151,-11.81735562707097,13.757831641824927,-193.24450952617792,1.3330483878117833e-62,5.346190559319157e-59,122.22389240849768
QI1316,-9.178080021027245,13.189783850640632,-132.1177948633681,8.368503691534254e-56,1.82645303901203e-52,112.31427454136264
QI1131,-11.474535199416081,13.439173765094695,-131.84597180395374,9.108355761187034e-56,1.82645303901203e-52,112.25314422940639
QI1133,-10.64222123061511,13.04353305925253,-127.1289395250265,4.075849437059412e-55,6.53847766693071e-52,111.15973572172132
QI6122,-8.650046756504578,15.685105103356745,-91.81079375018653,2.6155508692726678e-49,3.4965555870726778e-46,100.49496278661191
QI6759,-10.75041410069315,18.487228771823066,-80.26607812933824,6.466014646597884e-47,7.40912906862309e-44,95.70600143966017
QI6046,-3.8042455416474183,21.055468183447086,-70.23708572873407,1.5257924590479658e-44,1.5297976642529666e-41,90.78366530216314
QI6850,-6.346019626856577,11.276180863235659,-66.34703939261952,1.5665983292109924e-43,1.396187244289041e-40,88.6407664206187
QI6754,-5.365366334321434,11.7169497105915,-54.31507284974496,5.4695718924784855e-40,4.231972723487345e-37,80.9630533414537
QI1234,-5.414263020425684,11.930344449289612,-54.235940746850424,5.803727709557511e-40,4.231972723487345e-37,80.90639929659373
QI6849,-10.937193301047337,13.675780449367332,-51.86276449109571,3.577158838816214e-39,2.3910325871787377e-36,79.16376127026601
QI6785,-5.641078308160216,11.247255646659314,-51.62985213983752,4.294749962950307e-39,2.6498607271403393e-36,78.98804426268185
QI1763,-4.0739967144765075,19.582171138376644,-50.89606961731908,7.680246933705056e-39,4.400232903946304e-36,78.42875818308148
C18:0 SM,-3.234286815240246,23.13772611159418,-48.36104617178532,6.101784037267307e-38,3.2628273175280714e-35,76.42716068690083
QI1241,-7.78964881219553,12.493013693969855,-45.75107952558388,5.7687245905248664e-37,2.891933746287497e-34,74.24537350000057
QI6681,-5.926606838984037,17.39974416425916,-45.223109662567765,9.224543074157479e-37,4.352356470459832e-34,73.787976467256
QI1239,-10.473753289408489,17.277670685121212,-44.78442109319593,1.3679931501584113e-36,6.095929476344787e-34,73.40362394241752
QI1238,-5.9925340232292115,11.985253101538964,-43.53274837739651,4.299107668409206e-36,1.8149022425426442e-33,72.28486370652882
C18:1 SM,-3.3987993155966656,21.687601624366184,-40.44541513233944,8.337675369848689e-35,3.343824707077817e-32,69.3756497233907
QI6814,-8.239025561677298,12.04714092909305,-39.49356108881641,2.1726665222817277e-34,8.298551512010352e-32,68.43237569229592
QI1876,-3.897515143117843,18.730782786922482,-37.491974102935544,1.752328835351735e-33,6.38883163107103e-31,66.3709300886259
QI1240,-6.042701026428141,11.999660818725436,-37.09477053259268,2.6851024241387677e-33,9.364002845224807e-31,65.94862990735861
QI5974,-5.549000878166407,14.659608478574219,-35.813411634226725,1.0962014244329881e-32,3.663596510573749e-30,64.55469396531497
QI6764,-4.445600414440461,11.245628675319983,-34.21216969341875,6.80536649365204e-32,2.1834337858233202e-29,62.74118529712301
QI6753,-6.5606862569512785,11.932283871068174,-34.12082130773383,7.570572480310353e-32,2.335521610175744e-29,62.635208891828796
QI1236,-5.716861544188758,11.629007426590691,-33.58851588284462,1.41617219894638e-31,4.207080447314413e-29,62.012049003884215
QI6758,-5.452579009963706,11.63683032626458,-33.51844212607191,1.538933122995658e-31,4.408493778410062e-29,61.92929260655926
QI1260,-2.722477803562475,15.120575101085334,-32.11035451859294,8.471699394498385e-31,2.3431552014921222e-28,60.22946524535972
QI6761,-6.598248304702652,14.060502491018278,-31.94513306708555,1.0395682637728091e-30,2.7794590145739006e-28,60.02526936874459
QI1186,-8.023758566453857,11.965132140246995,-31.897920932414188,1.1023748600006339e-30,2.8523060490532533e-28,59.966731977606614
QI6724,-6.802122293852495,13.838118916043513,-31.50804974087648,1.794940746375855e-30,4.499131164587729e-28,59.48010437710276
QI1259,-3.897838207871631,15.061427947834023,-27.61865890263886,3.2256235067759097e-28,7.8402200448029e-26,54.28279812900578
QI1242,-4.667254345730941,11.24124790737578,-27.151869965205307,6.284712672457398e-28,1.4826376572288468e-25,53.61321623032795
QI6934,-2.076530545325257,15.150260792880276,-27.06965909104518,7.075624657116013e-28,1.6215310107065012e-25,53.4941818030718
QI1367,-3.8923011222346187,11.035746646709732,-26.981481435235477,8.037785452278787e-28,1.7908632531313375e-25,53.366134510411726
QI933,-2.5168686911226477,16.158334790897904,-25.893182575891707,4.001131670140535e-27,8.673804628701953e-25,51.75310558486932
QI6786,-6.965714452990918,12.039831732323066,-24.208984000086208,5.417320104435786e-26,1.1434822252020905e-23,49.13046022263063
QI1247,-3.672017486482117,11.038792789769014,-23.24788697325928,2.574840186576451e-25,5.295587983725568e-23,47.55937455231694
QI7064,-3.260445985566557,11.846262796660223,-23.10193956700186,3.2783792028454644e-25,6.573969896505868e-23,47.315774642983925
QI2027,-5.877759272932227,14.398849682586508,-22.928545201107408,4.375631659196627e-25,8.560229643516132e-23,47.024593195910825
QI6722,-3.2286689270574715,15.167745466265385,-21.759210842674555,3.2239933116877865e-24,6.129687845107461e-22,45.00904934696271
QI1586,-6.483158675030282,12.251005707262832,-21.748291303841807,3.286081253454941e-24,6.129687845107461e-22,44.98978883552026
QI1695,-5.99035432221949,14.945728467488065,-21.578123262852714,4.42825250823678e-24,8.07250303831073e-22,44.688555261006286
QI7025,-1.5106411203742347,17.14809850398003,-20.092230128565223,6.535568270104106e-23,1.1649287354334451e-20,41.96850371594172
QI6864,-1.908178782063052,15.536517769780458,-19.781152195330474,1.1722468995888184e-22,2.0440418220873724e-20,41.377735929329134
C18:1 LPE,-2.232322670888948,16.785141896231632,-19.600716458485135,1.650775676983081e-22,2.8172067457619775e-20,41.031533443190284
