compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI7812,11.500335600647968,16.551250824367877,238.6686503313284,2.228243879893504e-66,1.7872744160625797e-62,91.26028934632203
QI188,11.433935724822415,16.671631382743694,205.29006780441222,1.1046922987584476e-63,4.430368464170754e-60,90.71041660937827
QI7810,4.376007737289612,12.06875814548397,51.939744274517594,3.367998893534794e-39,9.004906375014193e-36,72.01403471471333
QI206,3.8145010870394316,12.010000495912633,35.55130331416478,1.4702368455551544e-32,2.9481924345494733e-29,60.9316951757571
QI1239,5.324127226874827,17.277670685121212,22.76528280680723,5.752304942872135e-25,9.227847589355478e-22,45.88209304281573
QI4854,-0.8305596216611306,14.490569909719309,-13.512748275990466,9.731110533900646e-17,1.3008872932069513e-13,27.94988055082628
C22:5 CE,-0.49997726997714054,21.942369401573362,-11.01730467817,7.358127245456062e-14,8.431362662257582e-11,21.47177049656981
C60:12 TAG,-1.0827166933445547,16.92095852403762,-10.130080450079863,9.41069442070145e-13,9.435397493555791e-10,18.965954704336916
C56:8 TAG,-0.495681436988594,19.3233530600395,-9.855665941276337,2.1130129925436193e-12,1.883164134799152e-9,18.169464252253576
C58:8 TAG,-0.49016697658619535,20.652033180864244,-9.503659409922456,6.047683163079017e-12,4.850846665105679e-9,17.133261634997393
QI3085,-0.9397710860649084,17.47891768882529,-9.36159705358357,9.285493973252945e-12,6.7708133781328965e-9,16.710542877412717
QI4938,-0.8518452646218329,18.14586268514716,-9.272434528295621,1.2168351430707528e-11,8.133528902142089e-9,16.44392522173026
QI4949,-1.295758190191247,15.982177705998726,-8.91810274968772,3.5976303872858935e-11,2.2197379489553963e-8,15.374645917732348
C56:7 TAG,-0.3880308204330376,21.420365537172714,-8.609626975456413,9.356052576705298e-11,5.360349836982371e-8,14.431514263206157
QI3301,-0.4468114736340141,18.776034684091158,-8.334273249133146,2.215717383508205e-10,1.1848179422079543e-7,13.580553551510253
C22:6 CE,-0.42336940361981945,23.125291351358072,-8.280751195655297,2.622433440029747e-10,1.3146586639049125e-7,13.414197608996513
NH4_C22:5 CE,-0.5481806203784885,21.23010064611899,-8.201936339090032,3.362935739557404e-10,1.5867122098229374e-7,13.1686839283843
NH4_C56:8 TAG,-0.7491899784053011,17.32501073501069,-7.885766530600388,9.178020601178036e-10,4.0898279578916125e-7,12.177578366554293
NH4_C22:6 CE,-0.5526390690870677,21.70967567003528,-7.604601612825163,2.259048462268277e-9,9.536751429396762e-7,11.288502492969812
QI3187,-0.6338167545218027,17.43532014099704,-7.542188763292367,2.7616035155157125e-9,1.1075410898975765e-6,11.090253897059924
QI3177,-0.60134680261773,17.796585990522647,-7.060138051771371,1.3159559344358105e-8,5.026325023861732e-6,9.549792032503511
C54:7 TAG,-0.4460068539453559,19.694883233522194,-7.018455327203841,1.50727178564527e-8,5.495375905754868e-6,9.4159268868626
QI3165,-0.757429777412991,16.803556169597584,-6.897149502635735,2.2386761142924505e-8,7.807139614234673e-6,9.025869991215842
QI5523,-0.3940873889344836,14.284855056543407,-6.717824315663275,4.022971734066221e-8,1.3445106782893814e-5,8.448135699900632
C22:4 CE,-0.4269306128698638,18.80239510769932,-6.651144835810037,5.004411350373703e-8,1.6056153376538988e-5,8.233039648936117
C54:8 TAG,-0.7752965724245016,15.8627717193686,-6.602471653388523,5.869518980224716e-8,1.8107466053993247e-5,8.07595400803407
QI2610,-0.3380532840820685,18.844467570226943,-6.584390148265274,6.227831411969098e-8,1.8501272502001532e-5,8.01758444527033
C58:9 TAG,-0.5265421812113296,17.85345658905348,-6.545879077335791,7.065818947888518e-8,1.9225825773111575e-5,7.893242757966708
QI965,0.5529534491725041,15.675536467142098,6.541535927215759,7.167155022604072e-8,1.9225825773111575e-5,7.879218118979012
QI3081,-0.48924399453499845,16.84024211166008,-6.540531018850841,7.190808791838266e-8,1.9225825773111575e-5,7.875973080380727
C58:7 TAG,-0.39912759218323046,20.806977900256832,-6.214667960741308,2.0955706996367782e-7,5.4221201876730964e-5,6.823189034925309
NH4_C56:7 TAG,-0.40066343924481984,20.52951850851059,-6.196937161645029,2.2212439760709471e-7,5.567686853770333e-5,6.765904451542377
QI6628,-0.55116017667617,19.306838662859576,-6.102567884845527,3.0284866654445056e-7,7.361058043494054e-5,6.461081615450159
NH4_C54:7 TAG,-0.5861648750325088,17.408886672041213,-6.005100231259156,4.1712293618239624e-7,9.840420797408824e-5,6.146425006878332
QI4910,-0.6958891864427628,17.92061958089232,-5.988803087461427,4.400567349035236e-7,1.0084843059031894e-4,6.093835928029715
C50:0 TAG,0.4364892602732695,20.617877029460388,5.970831935752376,4.6680906654437535e-7,1.0400765340978985e-4,6.035854040469066
QI3204,-1.737493106291213,11.837648593210446,-5.883518401445104,6.217779654465754e-7,1.3479138002289137e-4,5.754299843494686
QI4623,0.9994421054177245,16.524222884239194,5.845026499394479,7.055018054998454e-7,1.489165784714279e-4,5.630269734550814
NH4_C58:8 TAG,-0.22614126851439664,20.879778982756655,-5.7106522367950605,1.0961828007981416e-6,2.2544826269748445e-4,5.1978294500046465
NH4_C22:4 CE,-0.43848990856346504,18.170742672769332,-5.477605842261361,2.349893698248951e-6,4.712124338413709e-4,4.450483228986708
QI4642,-0.38840805353578745,17.79071552550238,-5.4551440928965524,2.5287170269696695e-6,4.947033969103346e-4,4.378670666420574
QI2536,0.4250199180882994,17.02195183073958,5.282392492228966,4.4398615765208575e-6,8.479078501255667e-4,3.827940850912758
QI4931,-0.43967255559575236,16.801667638207203,-5.247607273956526,4.9713568545967685e-6,9.171588917428053e-4,3.7174178772243183
QI6588,-0.5332735928000893,15.782828956085606,-5.243926253147275,5.031167090971629e-6,9.171588917428053e-4,3.705730111915458
C34:0 DAG,0.2720552902970148,20.220690904016195,5.130975605314285,7.257360858864458e-6,0.0012935842544211516,3.3478775420409983
QI4606,-0.5061243632084391,16.717813136350372,-5.092542770947995,8.218553687611173e-6,0.0014301229774082486,3.2264793435666688
QI1097,0.5889292569263826,13.430113994239704,5.084271723699017,8.441342966507454e-6,0.0014301229774082486,3.200379169182807
QI6097,1.423816923917414,15.892462817760801,5.0800167895824755,8.558272399401064e-6,0.0014301229774082486,3.1869558737922494
QI4934,-0.6412643257002006,16.39974093447825,-5.030147579017411,1.0054179796836449e-5,0.001645807676539289,3.029816949315223
QI6759,0.6592532129712563,18.487228771823066,4.922198289641354,1.4235167006279687e-5,0.0022836054911473873,2.6909086932263646
C52:6 TAG,-0.3190646074525745,18.586314444398365,-4.905065370716753,1.5040903852884808e-5,0.0023655507804703738,2.6372849316189955
QI3203,-0.650770309714293,16.932269313192418,-4.888874836702956,1.5843643924273695e-5,0.0024198473000431584,2.5866541804289414
C58:10 TAG,-0.7518574780059097,16.07145925628873,-4.8860199314318296,1.5989515883591497e-5,0.0024198473000431584,2.5777308008673367
NH4_C58:7 TAG,-0.41049885007921105,19.69515865157973,-4.855259014548284,1.7647852558019783e-5,0.0026213597290347533,2.48166905846728
QI2343,-0.3034039877010102,19.725404557402072,-4.8306971676362025,1.909291097583158e-5,0.002784440707948093,2.405080449654105
QI7014,0.903347116991867,13.831587505100027,4.782861174900229,2.2250321359909266e-5,0.0031869612076398613,2.2562190447866266
QI3330,-1.7275709143449003,13.719772357269541,-4.721276187490377,2.708266986023057e-5,0.003752946767261041,2.065179846150895
QI4796,-0.6257329437146595,16.838008945037608,-4.720640032517293,2.7137627789694597e-5,0.003752946767261041,2.063210150363047
QI3118,-1.9398090689140588,10.946167544247412,-4.713108437006124,2.77966960684322e-5,0.003778937273981265,2.03989627337866
QI4915,-0.49809641996884935,17.447489727094126,-4.679225084460093,3.096203963217933e-5,0.004139108664828507,1.9351458573614861
QI6214,-0.1251238922788538,22.304987299870998,-4.658249789014456,3.309663952600494e-5,0.004351936813739109,1.8704130742603988
C54:1 TAG,0.34225271053683315,21.44411393607284,4.648988023804439,3.408466840621805e-5,0.004409566536875403,1.8418577583351743
QI4699,-0.4002591759063385,18.31639453472374,-4.622113620282632,3.711877734076258e-5,0.0047258684611151845,1.7590982012394685
QI5363,-0.6682993046162018,13.018641925332313,-4.5445896363825815,4.743834678792393e-5,0.005945359056030278,1.5212051546455454
QI3122,-0.6978898382956196,16.102247108287482,-4.502044843170155,5.425011739516914e-5,0.006533286562041873,1.3912024077364586
NH4_C34:0 DAG,0.33735255852625556,18.38355895891499,4.493874195598228,5.5664094230496515e-5,0.006533286562041873,1.366281867079441
QI3094,-0.677309566710381,16.40482103886168,-4.4914978416711575,5.608208168381274e-5,0.006533286562041873,1.3590368029039146
QI1900,-0.08977614025460667,23.086225997238625,-4.490895656867794,5.618849083703046e-5,0.006533286562041873,1.357201056073703
QI4655,-0.2308120346635043,19.732292762069054,-4.490818912573792,5.6202066173904655e-5,0.006533286562041873,1.3569671087326052
QI1708,1.2682972710542835,14.435449246450142,4.467754411776635,6.04312117693425e-5,0.006924553565741374,1.2867182065543288
QI7597,0.89812662321593,16.557286824697382,4.450797078101699,6.373813549704928e-5,0.007200613870730032,1.2351485113886413
QI2971,1.1085835912803574,14.35038215397335,4.436107130393292,6.674584991159134e-5,0.007435673085289918,1.1905285917857684
C56:6 TAG,-0.22447129879063965,22.139892122265405,-4.390763954844611,7.693418606787512e-5,0.008453275430827759,1.0531252816918366
QI4104,0.34548707824291114,19.82274515532518,4.350876207826349,8.7145267599135e-5,0.009445840424495429,0.9326681956539886
QI5583,-0.46873149532043,17.32537703054585,-4.337699227827822,9.080143971135886e-5,0.009710911305664127,0.8929623029010783
QI7035,0.3402071417554282,18.400822847407166,4.333039458396515,9.21299603515628e-5,0.009723347526051121,0.8789316438370998
QI4833,-2.5301971701772157,11.316026950842907,-4.312065016548729,9.834910945885172e-5,0.010244911778824022,0.8158458351385889
QI4698,-0.4936441024550433,17.047110745071105,-4.277430797479205,1.0952837901552177e-4,0.011263168308762821,0.7119242622907151
QI408,1.2235909244619592,12.946908039915675,4.272240525342164,1.1130734298469693e-4,0.011301217697218405,0.6963777517755476
C48:0 TAG,0.3226866588947743,20.804125761667088,4.241476715476988,1.2244597537979424e-4,0.012162012019001191,0.604377971301103
